Fiscal Year,Eff. Date,Job Code,Title,Union Code,SetID,Grade,Biweekly Min,Biweekly Max,Extended Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
FY15-16,10/10/2015,7238,Electrician Supervisor 1,6,COMMN,7515,3574,4343,,44.675,46.9,49.25,51.7125,54.2875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7239,Plumber Supervisor 2,38,COMMN,7775,4056,4929,,50.7,53.225,55.8875,58.6875,61.6125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7240,Water Meter Shop Supervisor 1,38,COMMN,6975,2745,3337,,34.3125,36.025,37.8375,39.725,41.7125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7241,Senior Maintenance Controller,130,SFMTA,7241H,4255,4255,,53.1875,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7242,Painter Supervisor 1,4,COMMN,7242H,2940,3769,,36.75,38.5875,40.5125,42.5375,44.675,38.7625,40.7,42.725,44.8625,47.1125,,,,,,,,,,
FY15-16,10/10/2015,7243,Parking Meter Repairer Sprv 1,790,COMMN,6995,2772,3369,,34.65,36.375,38.2,40.1,42.1125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7244,Power Plant Supervisor 1,6,COMMN,7175,3027,3679,,37.8375,39.725,41.7125,43.7875,45.9875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7245,"Chf Statnry Eng,WtrTreat Plnt",39,COMMN,7245H,4691,4691,,58.6375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7246,Sewer Repair Supervisor,261,COMMN,7440,3446,4188,,43.075,45.225,47.4875,49.8625,52.35,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7247,Sheet Metal Wrk Supervisor 2,104,COMMN,7745,3998,4859,,49.975,52.4625,55.0875,57.8375,60.7375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7248,Steamfitter Supervisor 2,38,COMMN,7775,4056,4929,,50.7,53.225,55.8875,58.6875,61.6125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7249,Automotive Mechanic Sprv 1,130,COMMN,7249H,4255,4255,,53.1875,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7250,Utility Plumber Supervisor 1,38,COMMN,7575,3679,4471,,45.9875,48.275,50.7,53.225,55.8875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7251,Track Maint Wrk Sprv 1,216,SFMTA,7000,2779,3378,,34.7375,36.475,38.3,40.2125,42.225,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7252,"Chf Stationary Eng, Sew Plant",39,COMMN,7252H,4691,4691,,58.6375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7253,Electrical Trnst Mech Sprv 1,6,SFMTA,7480,3513,4270,,43.9125,46.1125,48.4125,50.8375,53.375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7254,Automotive Machinist Sprv 1,130,COMMN,7254H,4255,4255,,53.1875,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7255,Power House Electrician Sprv 1,6,COMMN,7515,3574,4343,,44.675,46.9,49.25,51.7125,54.2875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7256,Electric Motor Repair Sprv 1,6,SFMTA,7480,3513,4270,,43.9125,46.1125,48.4125,50.8375,53.375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7257,Communication Line Sprv1,6,COMMN,7415,3403,4137,,42.5375,44.675,46.9,49.25,51.7125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7258,Maintenance Machinist Sprv 1,130,COMMN,7258H,4255,4255,,53.1875,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7259,Water & Power Maint Sprv 1,790,COMMN,7035,2827,3436,,35.3375,37.1125,38.9625,40.9125,42.95,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7262,Maintenance Planner,39,COMMN,7262H,4428,4428,,55.35,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7263,Maintenance Manager,351,COMMN,7263H,3881,4717,6,48.5125,50.9375,53.475,56.15,58.9625,61.9,65,,,,,,,,,,,,,
FY15-16,10/10/2015,7264,Auto Body & Fender Wrk Sprv 1,130,SFMTA,7264H,4255,4255,,53.1875,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7268,Window Cleaner Supervisor,790,COMMN,6960,2726,3313,,34.075,35.775,37.5625,39.4375,41.4125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7270,Watershed Keeper Supervisor,790,COMMN,6825,2551,3101,,31.8875,33.4875,35.1625,36.9125,38.7625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7272,Carpenter Supervisor 2,236,COMMN,7655,3826,4650,,47.825,50.2125,52.725,55.35,58.125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7273,Communications Line Wrk Sprv 2,6,COMMN,7635,3788,4604,,47.35,49.725,52.2,54.8125,57.55,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7274,Trnst Power Line Wrk Sprv 2,6,SFMTA,7695,3899,4739,,48.7375,51.175,53.7375,56.425,59.2375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7275,Telecommunications Tech Supv,6,COMMN,7635,3788,4604,,47.35,49.725,52.2,54.8125,57.55,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7276,Electrician Supervisor II,6,COMMN,7735,3978,4835,,49.725,52.2,54.8125,57.55,60.4375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7277,City Shops Asst Superintendent,130,COMMN,7665,3844,4672,,48.05,50.45,52.975,55.6125,58.4,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7278,Painter Supervisor 2,4,COMMN,7325,3256,3957,,40.7,42.725,44.8625,47.1125,49.4625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7279,Power House Electrician Sprv 2,6,SFMTA,7640,3799,4617,,47.4875,49.8625,52.35,54.9625,57.7125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7281,Street Environ Svcs Oprs Supv,261,COMMN,7260,3155,3836,,39.4375,41.4125,43.4875,45.6625,47.95,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7282,Street Repair Supervisor 2,261,COMMN,7345,3289,3998,,41.1125,43.1625,45.325,47.5875,49.975,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7283,"Track Maint Supt, Muni Railway",351,SFMTA,7365,3320,4036,,41.5,43.575,45.7625,48.05,50.45,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7284,Utility Plumber Supervisor 2,38,COMMN,7775,4056,4929,,50.7,53.225,55.8875,58.6875,61.6125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7285,Transmission Line Wrk Sprv 2,6,COMMN,7920,4352,5291,,54.4,57.125,59.9875,62.9875,66.1375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7286,Wire Rope Cable Maint Sprv,39,SFMTA,7286H,3922,3922,,49.025,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7287,Sprv Electronic Main Tech,6,COMMN,7775,4056,4929,,50.7,53.225,55.8875,58.6875,61.6125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7302,Audio-Visual Equipment Tech,790,COMMN,6365,2038,2478,,25.475,26.75,28.0875,29.5,30.975,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7303,Barber,250,COMMN,6475,2151,2614,,26.8875,28.225,29.6375,31.125,32.675,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7305,Metal Fabricator,130,SFMTA,6815,2539,3087,,31.7375,33.325,35,36.75,38.5875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7306,Automotive Body & Fender Wrk,130,COMMN,7306H,3234,3234,,40.425,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7307,Bricklayer,7,COMMN,7215,3087,3752,,38.5875,40.5125,42.5375,44.675,46.9,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7308,Cable Splicer,6,COMMN,7415,3403,4137,,42.5375,44.675,46.9,49.25,51.7125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7309,Car and Auto Painter,130,COMMN,7309H,3234,3234,,40.425,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7310,Transit Power Cable Splicer,6,SFMTA,7495,3537,4299,,44.2125,46.425,48.7375,51.175,53.7375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7311,Cement Mason,580,COMMN,6775,2490,3027,,31.125,32.675,34.3125,36.025,37.8375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7313,Automotive Machinist,130,COMMN,7313H,3271,3271,,40.8875,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7314,Aprnt  Stationary Engineer I,39,COMMN,7314H,2181,2684,,27.2625,29.3625,31.45,33.55,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7315,Auto Machinist Asst Sprv,130,COMMN,7315H,3859,3859,,48.2375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7316,Water Service Inspector,38,COMMN,7355,3304,4017,,41.3,43.375,45.5375,47.825,50.2125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7317,Senior Water Service Inspector,38,COMMN,7655,3826,4650,,47.825,50.2125,52.725,55.35,58.125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7318,Electronic Maintenance Tech,6,COMMN,7475,3503,4258,,43.7875,45.9875,48.275,50.7,53.225,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7319,Electric Motor Repairer,6,COMMN,6975,2745,3337,,34.3125,36.025,37.8375,39.725,41.7125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7322,Auto Body&Fender Wrk Asst Sprv,130,COMMN,7322H,3859,3859,,48.2375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7324,Beautician,250,COMMN,6475,2151,2614,,26.8875,28.225,29.6375,31.125,32.675,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7325,General Utility Mechanic,130,COMMN,7325H,3448,3448,,43.1,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7326,Glazier,718,COMMN,7045,2841,3453,,35.5125,37.2875,39.15,41.1125,43.1625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7328,"Operating Engineer, Universal",3,COMMN,7200,3064,3724,,38.3,40.2125,42.225,44.3375,46.55,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7329,Electr Maint Tech Asst Sprv,6,COMMN,7635,3788,4604,,47.35,49.725,52.2,54.8125,57.55,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7330,Sr General Utility Mechanic,130,COMMN,7330H,3476,3476,,43.45,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7332,Maintenance Machinist,130,COMMN,6975,2745,3337,,34.3125,36.025,37.8375,39.725,41.7125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7333,Apprentice Stationary Engineer,39,COMMN,7333H,2181,3187,,27.2625,29.3625,31.45,33.55,35.65,37.75,39.8375,,,,,,,,,,,,,
FY15-16,10/10/2015,7334,Stationary Engineer,39,COMMN,7334H,3355,3355,,41.9375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7335,Senior Stationary Engineer,39,COMMN,7335H,3802,3802,,47.525,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7336,Electr Instrmntn Tech Wtr Poll,21,COMMN,7510,3566,4334,,44.575,46.8,49.1375,51.6,54.175,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7337,Main Machinist Asst Sprv,130,COMMN,7255,3147,3826,,39.3375,41.3,43.375,45.5375,47.825,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7338,Electrical Line Worker,6,COMMN,7338H,3840,3840,,48,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7339,"AprntcStatnry Eng,WtrTreatPlnt",39,COMMN,7339H,2404,2959,5,30.05,32.3625,34.675,36.9875,39.3,41.6125,43.925,,,,,,,,,,,,,
FY15-16,10/10/2015,7340,Maintenance Controller,130,SFMTA,7340H,3859,3859,,48.2375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7341,Statnry Eng Water Treat Plant,39,COMMN,7341H,3699,3699,,46.2375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7342,Locksmith,236,COMMN,7025,2813,3418,,35.1625,36.9125,38.7625,40.7,42.725,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7343,"Sr Statnry Eng, Wtr Treat Plnt",39,COMMN,7343H,4187,4187,,52.3375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7344,Carpenter,236,COMMN,7025,2813,3418,,35.1625,36.9125,38.7625,40.7,42.725,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7345,Electrician,6,COMMN,7265,3162,3844,,39.525,41.5,43.575,45.7625,48.05,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7346,Painter,4,COMMN,6855,2589,3147,,32.3625,33.9875,35.6875,37.4625,39.3375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7347,Plumber,38,COMMN,7335,3273,3978,,40.9125,42.95,45.1,47.35,49.725,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7348,Steamfitter,38,COMMN,7335,3273,3978,,40.9125,42.95,45.1,47.35,49.725,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7349,Steamfitter Supervisor I,38,COMMN,7575,3679,4471,,45.9875,48.275,50.7,53.225,55.8875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7350,Trans and Dist Line Worker,6,COMMN,7350H,4238,4238,,52.975,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7352,"AprntStnry Eng,WtrTreatPlnt II",39,COMMN,7352H,3144,3514,,39.3,41.6125,43.925,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7353,Water Meter Repairer,38,COMMN,6775,2490,3027,,31.125,32.675,34.3125,36.025,37.8375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7355,Truck Driver,216,COMMN,7355H,2539,3234,,31.7375,34.125,34.95,36.675,37.575,40.425,,,,,,,,,,,,,,
FY15-16,10/10/2015,7356,"Aprt Stnry Eng, Sew Plant II",39,COMMN,7356H,3144,3514,,39.3,41.613,43.925,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7358,Pattern Maker,236,COMMN,7125,2953,3589,,36.9125,38.7625,40.7,42.725,44.8625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7360,Pipe Welder,38,COMMN,7335,3273,3978,,40.9125,42.95,45.1,47.35,49.725,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7361,Plasterer,66,COMMN,7235,3117,3788,,38.9625,40.9125,42.95,45.1,47.35,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7362,Communications Systems Tech,790,COMMN,7565,3661,4449,,45.7625,48.05,50.45,52.975,55.6125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7364,Power House Operator,6,SFMTA,6805,2527,3072,,31.5875,33.175,34.825,36.575,38.4,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7365,Senior Power House Operator,6,SFMTA,7050,2847,3460,,35.5875,37.3625,39.225,41.1875,43.25,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7366,Transit Power Line Worker,6,SFMTA,7366H,3716,3997,,46.45,47.6125,48.8125,49.9625,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7368,Senior Comm Systems Technican,790,COMMN,7865,4238,5151,,52.975,55.6125,58.4,61.3125,64.3875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7370,Rigger,3,COMMN,6680,2377,2890,,29.7125,31.2,32.7625,34.4,36.125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7371,Electrical Transit System Mech,6,SFMTA,6980,2752,3346,,34.4,36.125,37.9375,39.8375,41.825,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7372,"Stationary Eng, Sewage Plant",39,COMMN,7372H,3699,3699,,46.2375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7373,"Sr. Stationary Eng, Sew Plant",39,COMMN,7373H,4187,4187,,52.3375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7375,"Aprntc Statnry Eng, Sew Plant",39,COMMN,7375H,2404,2959,5,30.05,32.3625,34.675,36.9875,39.3,41.6125,43.925,,,,,,,,,,,,,
FY15-16,10/10/2015,7376,Sheet Metal Worker,104,COMMN,7345,3289,3998,,41.1125,43.1625,45.325,47.5875,49.975,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7377,Stage Electrician,16,COMMN,7165,3012,3661,,37.65,39.525,41.5,43.575,45.7625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7378,Tile Setter,7,COMMN,6855,2589,3147,,32.3625,33.9875,35.6875,37.4625,39.3375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7380,"Electrl Trnst Mech, Asst Sprv",6,SFMTA,7280,3189,3873,,39.8625,41.825,43.9125,46.1125,48.4125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7381,Automotive Mechanic,130,COMMN,7381H,3203,3203,,40.0375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7382,Automotive Mechanic Asst Sprv,130,COMMN,7382H,3859,3859,,48.2375,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7388,Utility Plumber,38,COMMN,7335,3273,3978,,40.9125,42.95,45.1,47.35,49.725,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7389,Metalsmith,377,COMMN,6705,2407,2926,,30.0875,31.5875,33.175,34.825,36.575,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7390,Welder,6,COMMN,6985,2758,3353,,34.475,36.2,38.0125,39.9125,41.9125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7392,Window Cleaner,790,COMMN,6765,2478,3012,,30.975,32.525,34.15,35.85,37.65,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7393,Soft Floor Coverer,12,COMMN,7025,2813,3418,,35.1625,36.9125,38.7625,40.7,42.725,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7394,Soft Floor Coverer Supvr I,12,COMMN,7455,3470,4218,,43.375,45.5375,47.825,50.2125,52.725,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7395,Ornamental Iron Worker,377,COMMN,6955,2719,3304,,33.9875,35.6875,37.4625,39.3375,41.3,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7398,Apprentice Cement Mason I,580,COMMN,7398H,1968,2270,,24.6,26.4875,28.375,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7399,Apprentice Cement Mason II,580,COMMN,7399H,2422,2876,,30.275,32.1625,35.95,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7404,Asphalt Finisher,261,COMMN,6510,2188,2660,,27.35,28.7125,30.15,31.6625,33.25,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7408,Assistant Power House Operator,6,SFMTA,6335,2009,2442,,25.1125,26.375,27.6875,29.075,30.525,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7410,Automotive Service Worker,252,COMMN,6460,2135,2596,,26.6875,28.025,29.425,30.9,32.45,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7412,Auto Svc Wrk Asst Sprv,200,COMMN,6655,2348,2855,,29.35,30.825,32.3625,33.9875,35.6875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7416,Book Repairer,790,COMMN,6235,1914,2326,,23.925,25.1125,26.375,27.6875,29.075,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7418,Senior Book Repairer,790,COMMN,6625,2314,2813,,28.925,30.375,31.8875,33.4875,35.1625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7420,Bridgetender,39,COMMN,7420H,2676,2676,,33.45,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7421,Sewer Maintenance Worker,261,COMMN,6630,2319,2819,,28.9875,30.4375,31.9625,33.5625,35.2375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7424,Dryer Mixer Operator,3,COMMN,6900,2647,3217,,33.0875,34.7375,36.475,38.3,40.2125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7428,Hodcarrier,36,COMMN,6785,2502,3041,,31.275,32.8375,34.475,36.2,38.0125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7430,Asst Electronic Main Tech,6,COMMN,7175,3027,3679,,37.8375,39.725,41.7125,43.7875,45.9875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7432,Electrical Line Helper,6,COMMN,6865,2602,3162,,32.525,34.15,35.85,37.65,39.525,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7434,Maintenance Machinist Helper,130,COMMN,6345,2019,2454,,25.2375,26.5,27.825,29.2125,30.675,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7441,Tools Room Mechanic/Custodian,790,COMMN,5985,1694,2058,,21.175,22.225,23.3375,24.5,25.725,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7444,Parking Meter Repairer,856,COMMN,6685,2383,2896,,29.7875,31.275,32.8375,34.475,36.2,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7449,Sewer Service Worker,38,COMMN,7215,3087,3752,,38.5875,40.5125,42.5375,44.675,46.9,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7450,Shade and Drapery Worker,790,COMMN,6325,1999,2430,,24.9875,26.2375,27.55,28.925,30.375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7454,Traffic Signal Operator,790,SFMTA,5765,1524,1849,,19.05,20,20.975,22.0125,23.1125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7457,Sign Worker,21,COMMN,6520,2199,2672,,27.4875,28.8625,30.3,31.8125,33.4,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7458,Switch Repairer,261,SFMTA,6540,2221,2700,,27.7625,29.15,30.6125,32.1375,33.75,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7463,Utility Plumber Apprentice,38,COMMN,7463H,1989,3779,,24.8625,27.35,29.8375,32.325,34.8125,37.3,39.775,42.2625,44.75,47.2375,29.8375,31.075,32.325,33.5625,34.8125,36.05,37.3,38.5375,39.775,41.025
FY15-16,10/10/2015,9356,Wharfinger 2,790,COMMN,7010,2793,3396,,34.9125,36.6625,38.5,40.425,42.45,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7470,Watershed Keeper,790,COMMN,6595,2281,2772,,28.5125,29.9375,31.425,33,34.65,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7472,Wire Rope Cable Maint Mechanic,39,SFMTA,7472H,3472,3472,,43.4,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7473,WireRopeCable Maint Mech Train,39,SFMTA,7473H,2769,2769,,34.6125,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7480,Power Generation Technician 1,6,COMMN,7170,3018,3668,,37.725,39.6125,41.5875,43.6625,45.85,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7482,Power Generation Technician 2,6,COMMN,7415,3403,4137,,42.5375,44.675,46.9,49.25,51.7125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7484,Sr Power Generation Tech,6,COMMN,7550,3633,4416,,45.4125,47.6875,50.075,52.575,55.2,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7488,Power Generation Supervisor,6,COMMN,7890,4286,5209,,53.575,56.25,59.0625,62.0125,65.1125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7501,Environmental Service Worker,261,COMMN,7501H,1265,2019,,15.8125,17.0125,18.375,19.8125,21.4,23.0625,17.375,18.9625,20.5,22.0875,23.65,25.2375,,,,,,,,
FY15-16,10/10/2015,7502,Asphalt Worker,261,COMMN,6440,2115,2571,,26.4375,27.7625,29.15,30.6125,32.1375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7510,Lighting Fixture Maint Worker,6,COMMN,6145,1831,2226,,22.8875,24.0375,25.2375,26.5,27.825,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7514,General Laborer,261,COMMN,6400,2074,2521,,25.925,27.225,28.5875,30.0125,31.5125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7524,Institution Utility Worker,250,COMMN,6055,1752,2130,,21.9,23,24.15,25.35,26.625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7540,Track Maintenance Worker,261,SFMTA,6440,2115,2571,,26.4375,27.7625,29.15,30.6125,32.1375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,7542,Watershed Worker (Seasonal),790,COMMN,7542H,1701,1701,,21.2625,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8104,Victim & Witness Technician,790,COMMN,6225,1904,2314,,23.8,24.9875,26.2375,27.55,28.925,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8106,Legal Process Clerk,790,COMMN,6230,1909,2319,,23.8625,25.05,26.3,27.6125,28.9875,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8108,Senior Legal Process Clerk,790,COMMN,6420,2094,2545,,26.175,27.4875,28.8625,30.3,31.8125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8109,Document Examiner Technician,790,COMMN,6625,2314,2813,,28.925,30.375,31.8875,33.4875,35.1625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8113,Court Clerk,790,COMMN,7085,2896,3520,,36.2,38.0125,39.9125,41.9125,44,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8116,Legislative Calendar Clerk,22,COMMN,6530,2209,2685,,27.6125,28.9875,30.4375,31.9625,33.5625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8118,Legislative Clerk,22,COMMN,6910,2660,3234,,33.25,34.9125,36.6625,38.5,40.425,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8124,Invstgtor Ofc Citizen Cmplnts,790,COMMN,7180,3035,3689,,37.9375,39.8375,41.825,43.9125,46.1125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8126,"Sr Investigator, OCC",200,COMMN,7370,3327,4044,,41.5875,43.6625,45.85,48.1375,50.55,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8129,Victim/Witness Investigator 1,790,COMMN,6645,2337,2841,,29.2125,30.675,32.2125,33.825,35.5125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8131,Victim/Witness Investigator 2,790,COMMN,6835,2564,3117,,32.05,33.6625,35.3375,37.1125,38.9625,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8132,DA Investigative Assist,21,COMMN,8132H,2383,3041,,29.7875,31.275,32.8375,34.475,36.2,38.0125,,,,,,,,,,,,,,
FY15-16,10/10/2015,8133,Victim/Witness Investigator 3,790,COMMN,7195,3056,3714,,38.2,40.1,42.1125,44.2125,46.425,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8135,Asst Chf Victim/Wit Invstgtor,790,COMMN,7365,3320,4036,,41.5,43.575,45.7625,48.05,50.45,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8137,Chf Victim/Witness Invstgtor,351,COMMN,7670,3851,4681,,48.1375,50.55,53.075,55.725,58.5125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8138,Court Reporter,790,COMMN,6675,2371,2882,,29.6375,31.125,32.675,34.3125,36.025,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8139,Industrial Injury Investigator,790,COMMN,6785,2502,3041,,31.275,32.8375,34.475,36.2,38.0125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8141,Worker's Compensation Adjuster,790,COMMN,7045,2841,3453,,35.5125,37.2875,39.15,41.1125,43.1625,,,,,,,,,,,,,,,
